id	status	source	declaration	scope
G0-reference-syntax	checked	incidence-theory/IncidenceTheory/ReferenceFoundation.lean	structure CompletionTarget	First-order reference syntax, axioms, derivations, and completion target are fixed.
G1-renaming-substitution	checked	incidence-theory/IncidenceTheory/ReferenceFoundationLogic.lean	theorem Formula.realize_substitute	Semantic substitution lemma for all first-order constructors including quantifiers.
G1-soundness	checked	incidence-theory/IncidenceTheory/ReferenceFoundationLogic.lean	theorem derives_sound	Every intuitionistic first-order derivation is valid in every certified model.
G1-weakening	checked	incidence-theory/IncidenceTheory/ReferenceFoundationMetatheory.lean	theorem Derives.weaken_prefix	Admissible finite-prefix weakening, including quantified rules.
G1-cut	checked	incidence-theory/IncidenceTheory/ReferenceFoundationMetatheory.lean	theorem Derives.cut	Single-formula cut is admissible through implication introduction and elimination.
G1-derivation-substitution	checked	incidence-theory/IncidenceTheory/ReferenceFoundationMetatheory.lean	theorem Derives.substitute	Capture-avoiding term substitution is admissible for every derivation, including quantifier and axiom cases.
G1-kripke-monotonicity	checked	incidence-theory/IncidenceTheory/ReferenceFoundationKripke.lean	theorem force_monotone	Varying-domain first-order Kripke forcing is persistent along future worlds.
G1-kripke-soundness	checked	incidence-theory/IncidenceTheory/ReferenceFoundationKripke.lean	theorem derives_sound	Every intuitionistic first-order derivation is valid in every certified varying-domain Kripke model.
G1-canonical-truth	checked	incidence-theory/IncidenceTheory/ReferenceFoundationCanonical.lean	theorem truth	Every prime/Henkin frame satisfying the explicit closure interface yields a canonical term-model truth lemma for open substitutions.
G1-completeness-reduction	checked	incidence-theory/IncidenceTheory/ReferenceFoundationCanonical.lean	theorem complete_of_countermodels	First-order Kripke completeness is reduced to construction of a countermodel certificate for each non-derivation.
G1-syntax-enumeration	checked	incidence-theory/IncidenceTheory/ReferenceFoundationEncoding.lean	theorem formulaAt_surjective	First-order formulas have a checked effective enumeration and finite fresh-variable bounds for Henkinization.
G1-lindenbaum-maximal	checked	incidence-theory/IncidenceTheory/ReferenceFoundationLindenbaum.lean	theorem exists_maximalAvoiding	Every target-avoiding theory has a maximal target-avoiding extension by a checked chain-union/Zorn argument.
